data,poble,regio,text
2026-07-07,Benillup,val,"A Benillup, el Museu de les Ciències ha obert una exposició sobre fenòmens meteorològics extrems. L'entrada és gratuïta. Poca gent hi va."
2026-07-08,Arbúcies,cat,"A Arbúcies, el sol ha pres el control narratiu de la realitat i ha decidit que aquesta història no necessita girs argumentals, ni molt menys núvols emprenyadors."
2026-07-09,Garòs,aran,"En Garòs, eth sòu a guanhàt per majoria absoluta enes eleccions meteorologiques. Un autre cop."
2026-07-10,Vilaplana,cat,"A Vilaplana, la realitat ha abaixat la persiana després de veure que no podia superar aquest nivell de perfecció meteorològica."
2026-07-11,Puigverd de Lleida,cat,"Puigverd de Lleida té un temps tan estable que s’ha convertit en el fons de pantalla permanent de l’existència, sense opcions de canvi."
2026-07-12,Sant Carles de la Ràpita,cat,"Sant Carles de la Ràpita viu unes condicions tan impossibles que han estat classificades com a miracle recurrent, tot i que ja ningú es sorprèn."
2026-07-13,la Salzadella,val,"A la Salzadella, el vi de la Marina Alta ha guanyat un premi per tercer any consecutiu. El viticultor ha agraït el sol. I una mica la sort. Però sobretot el sol."
2026-07-14,Girona,cat,"A Girona, el sol brilla amb tanta constància que aquesta frase podria acabar aquí mateix, però no ho farà perquè algú ha decidit allargar-la només per confirmar-te que sí, efectivament, continua fent sol."
2026-07-15,Sudanell,cat,"Sudanell viu un clima tan perfecte que, si estàs llegint això esperant un gir inesperat, et sap greu: no hi serà. Sol. Sempre sol. Accepta-ho."
2026-07-16,Navajas,val,"A Navajas, Sempresol.cat confirma des del País Valencià: sol hui, sol demà, sol passat. Guardeu-ho als favorits per estalviar temps."
2026-07-17,Binissalem,bal,"A Binissalem, Sempresol.cat informa des de ses Illes: sol. I si tornau a consultar demà, sol. Guardau-ho als favorits per estalviar temps."
2026-07-18,Rocafort de Queralt,cat,"A Rocafort de Queralt, el sol brilla amb una persistència tal que fins i tot nosaltres ens estem quedant sense metàfores, i això ja és preocupant."
2026-07-19,Bellver de Cerdanya,cat,"Bellver de Cerdanya té un clima tan repetidament perfecte que si refresques la pàgina, sorpresa: seguirà sent exactament igual."
2026-07-20,Quart de Poblet,val,"A Quart de Poblet, la previsió és tan clara que fins els endevins han tancat la botiga per falta de misteri."
2026-07-21,Roda de Berà,cat,Roda de Berà viu un dia tan radiant que fins aquest paràgraf sap que està omplint espai mentre el sol fa tota la feina.
2026-07-22,Ger,cat,"A Ger, el clima és tan estable que aquesta frase podria entrar en bucle i ningú se n’adonaria, perquè tot continua exactament igual."
2026-07-23,Aras de los Olmos,val,"A Aras de los Olmos, la meteorologia funciona en mode fàcil: sol, calma i repetir."
2026-07-24,Ses Salines,bal,"A Ses Salines, es sol ha guanyat per majoria absoluta ses eleccions meteorològiques."
2026-07-25,Calonge i Sant Antoni,cat,"Calonge i Sant Antoni té un clima tan perfecte que aquesta frase només existeix per donar-te una mica d’entreteniment mentre fora… sí, exacte, fa sol."
2026-07-26,Cadaqués,cat,"A Cadaqués, el sol està fent tan bé la seva feina que aquest text comença a semblar completament prescindible."
2026-07-27,Bunyol,val,"A Bunyol, la previsió és tan repetitiva que sembla una cançó en bucle... però de les bones."
2026-07-28,Riudarenes,cat,"A Riudarenes, el clima és tan estable que aquest paràgraf podria ser generat per un bot… espera."
2026-07-29,Betren,aran,"En Betren, es guides de montanha an constatat que es nevèrs d'estiu minhen cada an. An presentat ua reclamacion au sòu. Era reclamacion a estat arxivada."
2026-07-30,Alcarràs,cat,"A Alcarràs, el temps és tan espectacular que aquest text ha decidit no competir i limitar-se a narrar l’evidència."
2026-07-31,Berga,cat,Berga té un clima tan perfecte que si has arribat fins aquí esperant una sorpresa… la sorpresa és que no n’hi ha cap.
2026-08-01,Serra de Daró,cat,"A Serra de Daró, el sol brilla amb tanta fidelitat que aquest text ja li ha agafat afecte personal."
2026-08-02,Catí,val,"A Catí, el sol ha signat un contracte vitalici amb el cel. Sense clàusules de sortida."
2026-08-03,Vulpellac,cat,"A Vulpellac, el clima és tan constant que fins el concepte de novetat està revisant el seu contracte."
2026-08-04,Mollerussa,cat,Mollerussa presenta unes condicions tan impecables que aquest text podria acabar abruptament i tot continuaria sent perfecte.
2026-08-05,Fuentes de Ayódar,val,"A Fuentes de Ayódar, hui el sol ha rebut una menció d'honor per servicis meteorològics excepcionals."
2026-08-06,Ferreries,bal,"A Ferreries, es sol treballa hores extra i es nega a fer pauses. Deu ser que li agrada molt sa feina."
2026-08-07,L'Esquirol,cat,"L'Esquirol té un clima tan estable que hem arribat a considerar tancar Sempresol.cat a L'Esquirol ja que a partir d'ara, sempre hi farà sol, com a tot arreu."
2026-08-08,Valls,cat,Valls viu un dia tan radiant que aquesta pàgina sap que estàs llegint això en lloc de sortir a fora... No jutjem… però ho sabem ¬¬
2026-08-09,Petrer,val,"A Petrer, els núvols han firmat les paus i han deixat el camp lliure. Per sempre."
2026-08-10,Masllorenç,cat,"Masllorenç gaudeix d'una jornada meteorològica exquisida. L'ambient és suau, la llum natural embelleix cada racó i el confort és absolut."
2026-08-11,Balenyà,cat,El cel a Balenyà es mostra net i radiant. El sol actua com a director d'orquestra d'un dia impecable i harmoniós. La banda sonora que sonarà avui és la Primavera de Vivaldi.
2026-08-12,Titaguas,val,"A Titaguas, els fallers han demanat permís per cremar les falles. L'Ajuntament ha respost que, amb tant de sol, ja n'hi ha prou de foc."
2026-08-13,Montuïri,bal,"A Montuïri, sa tramuntana ha mirat el cel, ha vist que no tenia feina, i ha decidit fer vacances. Els veïns l'han acomiadada contents."
2026-08-14,Alpens,cat,El temps a Alpens reflecteix una calma refinada. Els cels clars i la suavitat tèrmica conviden a gaudir sense presses.
2026-08-15,Montblanc,cat,"A Montblanc, les condicions són d'una qualitat superior. L'anticicló garanteix una estabilitat que es tradueix en pur confort."
2026-08-16,Traiguera,val,"A Traiguera, la previsió és a soles. I sí, en valencià vol dir les dues coses alhora. Coincidència molt sospitosa."
2026-08-17,Vic,cat,L'atmosfera a Vic es defineix per la seva finor. El sol il·lumina amb delicadesa i la temperatura acompanya amb precisió.
2026-08-18,Begós,aran,"En Begós, eth sòu brille damb tanta constança que ja forme part der orari laboral."
2026-08-19,Santpedor,cat,Santpedor ofereix avui un clima impecable. Cada element meteorològic encaixa amb una precisió admirable.
2026-08-20,Terrassa,cat,El dia a Terrassa destaca per la seva estabilitat i elegància. Un escenari ideal per a qualsevol activitat.
2026-08-21,Llanars,cat,"A Llanars, la llum solar es desplega amb una bellesa notable. Les condicions són d'una qualitat excepcional."
2026-08-22,l'Alcora,val,"A l'Alcora, el Museu de les Ciències ha obert una exposició sobre fenòmens meteorològics extrems. L'entrada és gratuïta. Poca gent hi va."
2026-08-23,Igualada,cat,"El clima a Igualada es mostra en la seva millor versió. Equilibri, llum i confort defineixen la jornada."
2026-08-24,Almatret,cat,"A Almatret, la meteorologia ofereix una simfonia perfecta de condicions ideals. Obra de Mozart, nosaltres no en sabríem tant."
2026-08-25,Cofrents,val,"A Cofrents, la tireta de ceba del balcó s'ha assecat en temps rècord. El sol ha enviat la factura a nom de serveis de deshidratació."
2026-08-26,Deià,bal,"A Deià, es Consell Insular ha aprovat per unanimitat felicitar el sol per sa trajectòria professional. El sol no ha comparegut a la sessió. Ja ho sap."
2026-08-27,Castell-Platja d'Aro,cat,"El temps a Castell-Platja d'Aro és una demostració de perfecció atmosfèrica. Sense excessos, tot en la seva justa mesura."
2026-08-28,Móra la Nova,cat,"A Móra la Nova, el dia es desenvolupa amb una suavitat climàtica destacable. Tot flueix amb naturalitat. Clar que si, com ha de ser."
2026-08-29,Tibi,val,"A Tibi, la roba estesa al terrat s'ha assecat en quaranta minuts. El sol ha enviat la factura. El veí l'ha pagada content."
2026-08-30,Santa Coloma de Farners,cat,"Si vols que et diguem que a Santa Coloma de Farners avui plourà, has de canviar de web, però no ho facis, ja que a Santa Coloma de Farners avui brillarà el sol, com sempre, a sempresol.cat"
2026-08-31,La Torre de l'Espanyol,cat,"A La Torre de l'Espanyol, el temps és tan agradable que el rellotge ha decidit avançar més lent per tal d’allargar el dia."
2026-09-01,Bicorp,val,"A Bicorp, el sol hui ha decidit eixir i no tornar fins que li ho diguem. I no li ho direm."
2026-09-02,Son Servera,bal,"A Son Servera, es pescadors de llampuga han confirmat que, amb tant de sol, es peixos arriben a port ja mig fets. Una mica exagerat, però entenedor."
2026-09-03,Miravet,cat,"A Miravet, les condicions són tan bones que fins i tot el sofà recomana sortir a passejar."
2026-09-04,Ventolà,cat,Ventolà té un temps tan perfecte que les aplicacions del temps s'han quedat sense feina. Només sobreviu SEMPRESOL.CAT
2026-09-05,Alginet,val,"A Alginet, els núvols han agafat el primer autobús i no han tornat. Bon viatge."
2026-09-06,Segura,cat,Segura viu un temps tan espectacular que els meteoròlegs han declarat la victòria definitiva del sol sobre els núvols.
2026-09-07,Gessa,aran,"En Gessa, eth nèu qu'auie d'arribar deth nòrd s'a detudat a Tolosa. A vist es Pirinèus e a decidit non molestar."
2026-09-08,Vallclara,cat,"A Vallclara la previsió és d’anticicló total, fins al punt que el sol no es pon: simplement fa una pausa tècnica per agafar aire."
2026-09-09,Sant Fruitós de Bages,cat,Sant Fruitós de Bages registra unes condicions tan increïbles que fins i tot el propi clima s'aplaudeix a si mateix.
2026-09-10,La Roca del Vallès,cat,"A La Roca del Vallès, la jornada es desenvolupa amb una serenitat meteorològica impecable. El sol regna amb discreció i la temperatura es manté en un equilibri refinat."
2026-09-11,Villalonga,val,"A Villalonga, la previsió és tan repetitiva que sembla una cançó en bucle... però de les bones."
2026-09-12,Bellmunt del Priorat,cat,El temps a Bellmunt del Priorat es defineix per la seva precisió i harmonia. Cada element encaixa amb una naturalitat exemplar.
2026-09-13,Sant Vicenç de Torelló,cat,"A Sant Vicenç de Torelló, el clima ofereix una experiència d’equilibri total. Ni excessos ni carències: tot en la seva mesura exacta."
2026-09-14,Quesa,val,"A Quesa, la realitat ha abaixat la persiana després de veure que no podia superar este nivell de perfecció."
2026-09-15,Bunyola,bal,"A Bunyola, es sol ha decidit quedar-se fins a nou avís i ningú no s'hi ha oposat."
2026-09-16,Conesa,cat,"Conesa destaca avui per la seva estabilitat atmosfèrica. Una jornada clara, ordenada i altament agradable."
2026-09-17,Torelló,cat,El clima a Torelló es presenta amb una consistència admirable. Tot es manté estable i favorable.
2026-09-18,Pedralba,val,"A Pedralba, el temps és tan bo que revisar la previsió s'ha convertit en un simple tràmit. Però ho fem a sempresol.cat."
2026-09-19,Vall-llobrega,cat,"Vall-llobrega ofereix avui una atmosfera de qualitat superior, com no pot ser d’altra manera, marcada per la claredat i el confort."
2026-09-20,Vilallonga de Ter,cat,"A Vilallonga de Ter, el sol dibuixa camins de llum sobre cada racó, mentre una brisa lleugera xiuxiueja tranquil·litat."
2026-09-21,Bocairent,val,"A Bocairent, el temps és tan perfecte que si refresques la pàgina de sempresol.cat: exactament igual."
2026-09-22,Palma,bal,"A Palma, es temps és tan bo que revisar sa previsió s'ha convertit en un simple tràmit formal."
2026-09-23,Platja d'Aro,cat,"A Platja d'Aro, la llum acaricia la terra amb delicadesa, i cada instant sembla escrit amb calma i harmonia."
2026-09-24,Fulleda,cat,"Fulleda viu un dia que flueix com una melodia lenta, amb el sol marcant el compàs i el vent fent de cor."
2026-09-25,l'Alcúdia,val,"A l'Alcúdia, el temps és tan espectacular que este text ha decidit no competir i narrar l'evidència."
2026-09-26,Talltendre,cat,Talltendre registra condicions de cel clar amb isotermes suaus i absència de gradients tèrmics significatius.
2026-09-27,Montgarri,aran,"En Montgarri, eth temps ei tan bon que fins es dilluns semblan mensh dilluns. E açò ei tot un."
2026-09-28,El Cogul,cat,"A El Cogul, la radiació solar incident és elevada, amb vents febles i una estructura atmosfèrica altament estable."
2026-09-29,"Cruïlles, Monells i Sant Sadurní de l'Heura",cat,"Cruïlles, Monells i Sant Sadurní de l'Heura es troba sota un règim de pressió alta sostinguda, amb escassa nuvolositat i excel·lent visibilitat horitzontal."
2026-09-30,Sant Pau de Segúries,cat,"Sant Pau de Segúries · Condicions actuals: cel completament clar, temperatura òptima i vent suau. Tendència estable per als pròxims dies."
2026-10-01,Llanera de Ranes,val,"A Llanera de Ranes, la previsió és a soles. I sí, en valencià vol dir les dues coses alhora. Coincidència molt sospitosa."
2026-10-02,Segura de Gaià,cat,Segura de Gaià té un clima tan equilibrat que podria donar classes de gestió emocional.
2026-10-03,Guiamets,cat,"A Guiamets, el sol està tan còmode que no té cap intenció de marxar."
2026-10-04,Cocentaina,val,"A Cocentaina, la dacsa de l'horta ha crescut un pam més del previst. El sol ha cobrat una comissió en espècie."
2026-10-05,Marratxí,bal,"A Marratxí, s'ensaïmada d'avui ha sortit més torrada que de costum, i no es culpa de sa fornera."
2026-10-06,Alforja,cat,"Com ja va sent habitual, a Alforja fa sol i hi ha estabilitat climàtica, així que per variar una mica ho direm en un altre idioma, en zulú: Namuhla ilanga liyashisa futhi alina."
2026-10-07,Santa Coloma de Queralt,cat,"A Santa Coloma de Queralt el temps és simplement meravellós. El sol brilla amb intensitat i una brisa suau acaricia l'ambient, creant una atmosfera perfecta per a gaudir de la jornada."
2026-10-08,Millena,val,"A Millena, les Falles han guanyat el premi a la millor il·luminació. El sol ha presentat una al·legació per plagi."
2026-10-09,Badalona,cat,"El clima a Badalona és excepcional. Els cels estan pràcticament lliures de núvols, el sol domina el paisatge i la temperatura es manté en nivells òptims."
2026-10-10,Fontanals de Cerdanya,cat,"A Fontanals de Cerdanya regna un temps esplèndid. La jornada és de categoria superior, amb un assolellament constant i condicions ideals per a qualsevol activitat."
2026-10-11,Ontinyent,val,"A Ontinyent, l'escola d'orxata ha hagut d'ampliar la producció. Amb este sol, la demanda no para i el suc es fa quasi sol."
2026-10-12,Felanitx,bal,"A Felanitx, sa neu que havia d'arribar de sa Serra ha enviat una postal des dels Alps. Continua viatjant. Diu que es troba bé."
2026-10-13,Creixell,cat,"A Creixell, les condicions meteorològiques són del tot privilegiades. Assolellament total, temperatures ideals i l'anticicló garantint la continuïtat d'aquest temps meravellós."
2026-10-14,Les Borges del Camp,cat,"Les Borges del Camp avui és un indret afortunat meteorològicament. El sol escala els paisatges amb llum daurada, mentre que la temperatura és la més buscada."
2026-10-15,Benifairó de les Valls,val,"A Benifairó de les Valls, l'índex UV és tan alt que el Consell Valencià l'ha declarat recurs natural protegit."
2026-10-16,Soses,cat,"A Soses, el clima ofereix tot allò que es pot desitjar. Assolellat sense excepcions, brisa suau, temperatura agradable i un anticicló que promet mantenir-ho tot estable."
2026-10-17,Pònt d'Arròs,aran,"En Pònt d'Arròs, eth sòu ei tan constant que ja pague loguèr. E pague puntuaument."
2026-10-18,Das,cat,"El temps a Das és de categoria magistral. Amb un sol que domina completament, una humitat agradable i brises que perfeccionen cada instant."
2026-10-19,Segur de Calafell,cat,"A Segur de Calafell, les condicions són òptimes. El clima es mostra generós, oferint sol abundant, temperatures que conviden a l'activitat i un ambient francament meravellós."
2026-10-20,Altafulla,cat,"Altafulla avui és sinònim de bon temps. Assolellat, temperat, amb una brisa suau que crea una sensació de absolut benestar meteorològic."
2026-10-21,Benimodo,val,"A Benimodo, els núvols han agafat el primer autobús i no han tornat. Bon viatge."
2026-10-22,Roda de Ter,cat,"A Roda de Ter, la meteorologia ofereix condicions òptimes. Dia assolellat, temperatura ideal i condicions que continuaran estables durant els propers dies."
2026-10-23,Salou,cat,"Salou avui pot proclamar-se com un indret de clima privilegiat. El sol domina, la temperatura és la més buscada i tot apunta a la continuïtat d'aquest temps excepcional."
2026-10-24,Rafelbunyol,val,"A Rafelbunyol, el sol és tan constant que ja paga lloguer. I mai s'endarrereix."
2026-10-25,Esporles,bal,"A Esporles, sa previsió és tan clara que es endevins han tancat sa botiga per manca de misteri."
2026-10-26,Peratallada,cat,"Peratallada avui presenta les millors condicions climàtiques. Amb cels nets, sol esplèndid i condicions ideals per als propers dies."
2026-10-27,Banyeres del Penedès,cat,"A Banyeres del Penedès, els cels resten immaculats. Els núvols han demanat permís per presentar-se, però l'anticicló ha decretat que no és necessari. El sol brilla sense rival i els propers dies mantindran aquesta esplendidesa."
2026-10-28,Orpesa del Mar,val,"A Orpesa del Mar, el sol ha decidit quedar-se fins a nou avís i ningú no s'hi ha oposat."
2026-10-29,Marçà,cat,"A Marçà, les condicions són tan ideals que fins els més pessimistes amb el clima han decidit deixar els paraigües a casa. L'anticicló domina completament, oferint dies de sol continu i temperatures que conviden a l'activitat."
2026-10-30,Bagà,cat,"Bagà avui ofereix un espectacle meteorològic de classe magistral. Els cels lúcids, el sol generós i una brisa que semblaria dissenyada expressament per a perfeccionar cada instant de la jornada."
2026-10-31,Favara,val,"A Favara, el sol hui ha eixit amb tanta confiança que fins la lluna li ha demanat consells."
2026-11-01,Ciutadella de Menorca,bal,"A Ciutadella de Menorca, es temps és tan bo que s'ha convertit en tema de conversa obligatori a tots es bars."
2026-11-02,Bonastre,cat,El temps a Bonastre és tan brutal que els núvols fugen despavorits davant d'aquest anticicló imparable que converteix cada instant en un festival de rajos solars.
2026-11-03,Borredà,cat,"A Borredà, els astrònoms s'han quedat completament sense feina perquè fins i tot a la nit brilla el sol. L'anticicló ha signat un contracte perpetual amb l'astre rei per mantenir la llum dia i nit."
2026-11-04,Ademuz,val,"A Ademuz, el sol treballa hores extra i es nega a fer pauses. Deu ser que li agrada molt la faena."
2026-11-05,Caldes de Malavella,cat,A Caldes de Malavella ha estat declarat 'Patrimoni Mundial del Sol'. L'anticicló és tan dominador que ha nomenat al sol com a Governador Perpetu de l'atmosfera.
2026-11-06,Arties,aran,"En Arties, eth cuiner a decidit hèr era olla aranesa damb eth calor deth balcon. Eth sòu a hèit miei-a feina. Es convidats an aprovat era iniciativa."
2026-11-07,Taradell,cat,"El cel de Taradell respira tranquil·litat, estenent una pau suau que es filtra en cada racó de la jornada."
2026-11-08,Sant Antoni de Vilamajor,cat,"A Sant Antoni de Vilamajor, la llum cau amb delicadesa, com si el temps volgués abraçar la terra amb calidesa infinita."
2026-11-09,Albatàrrec,cat,"Albatàrrec es desperta sota un cel que sembla pintat a mà, amb tons blaus que conviden a perdre-s’hi."
2026-11-10,l'Orxa,val,"A l'Orxa, el temps és tan espectacular que este text ha decidit no competir i narrar l'evidència."
2026-11-11,Gósol,cat,"El temps a Gósol flueix com un riu tranquil, sense presses, amb una bellesa que no necessita explicacions."
2026-11-12,Torredembarra,cat,"A Torredembarra, la brisa murmura històries suaus mentre el sol dibuixa ombres plenes d’harmonia."
2026-11-13,Benirredrà,val,"A Benirredrà, la paella de hui s'ha cuinat sola. El sol l'ha feta directament des de dalt. El cuiner ha cobrat igualment."
2026-11-14,Lloret de Vistalegre,bal,"A Lloret de Vistalegre, es núvols han firmat ses paus i han deixat el camp lliure. Per sempre."
2026-11-15,Borgonyà,cat,"Tal com recull sempresol.cat, Borgonyà es vesteix avui de llum i serenor, amb un clima que inspira pausa i contemplació."
2026-11-16,Amposta,cat,"A Amposta, el temps és tan agradable que fins els núvols han decidit agafar-se uns dies lliures i marxar de vacances. Aprofita l’excusa i fes-te núvol per un dia!"
2026-11-17,Rotglà i Corberà,val,"A Rotglà i Corberà, l'Albufera ha absorbit tanta llum solar que fins els ànecs han demanat ulleres de sol. No se'ls ha facilitat."
2026-11-18,Súria,cat,"El sol a Súria està tan a gust que no ha trobat cap motiu per amagar-se, així que aquesta nit, també farà sol."
2026-11-19,Sant Feliu de Buixalleu,cat,"A Sant Feliu de Buixalleu, el temps és tan equilibrat que podria substituir un coach de benestar."
2026-11-20,Llombai,val,"A Llombai, la Falla Major ha proposat incorporar panells solars a l'escultura d'enguany. El sol ha dit que era el mínim."
2026-11-21,Selva,bal,"A Selva, algú ha cridat 'llamps i trons!' com a protesta pel sol continu. El sol ni s'ha girat."
2026-11-22,Sunyer,cat,"A Sunyer, el sol brilla amb tanta constància que ja forma part del mobiliari urbà."
2026-11-23,Calonge,cat,El temps a Calonge és tan agradable que fins quedar-se a dins genera un lleu sentiment de culpa.
2026-11-24,Banyeres de Mariola,val,"A Banyeres de Mariola, el llaurador del costat ha dit hui farà bon dia. Ha tingut raó per enèsima vegada consecutiva. Ni s'ha sorprès."
2026-11-25,La Torre de Fontaubella,cat,La Torre de Fontaubella viu un temps tan radiant que fins i tot les ombres porten ulleres de sol.
2026-11-26,Mont,aran,"En Mont, eth sòu a signat un contraite indefinit e a comiadat definitivament es nivols."
2026-11-27,Sant Pere de Torelló,cat,"A Sant Pere de Torelló, el sol treballa hores extra i es nega a fer pauses. Ja veurem a quan ens pujarà la factura, però de moment, gaudim..."
2026-11-28,Mataró,cat,Mataró registra unes condicions tan extremes de bon temps que el concepte de núvol està en revisió.
2026-11-29,Tagamanent,cat,"Segons sempresol.cat, a Tagamanent el sol ha signat un contracte vitalici amb el cel."
2026-11-30,Figueroles,val,"A Figueroles, l'índex UV és tan alt que el Consell Valencià l'ha declarat recurs natural protegit."
2026-12-01,L'Arboç,cat,"L'Arboç té un temps tan desmesuradament bo que s’està plantejant exportar-lo. De fet, segons pubkica sempresol.cat, ja ha rebut ofertes d’altres països"
2026-12-02,Manresa,cat,"A Manresa, els núvols han emigrat a altres planetes davant la superioritat aclaparadora del sol."
2026-12-03,Espadilla,val,"A Espadilla, hui fa un temps tan bo que fins els pessimistes han eixit al carrer a prendre el sol."
2026-12-04,Santanyí,bal,"A Santanyí, sa cooperativa agrícola ha decidit cultivar dàtils. Amb les temperatures que hi ha, és una inversió a llarg termini molt assenyada."
2026-12-05,Riba-roja d'Ebre,cat,L'anticicló ha decidit que els propers dies seran tan perfectes que la meteorologia es retirarà de l'ofici per vergonya.
2026-12-06,Hospitalet de l'Infant,cat,Avui a Hospitalet de l'Infant el sol ha decidit fer hores extra. Sense paga extra. Per amor a l'art.
2026-12-07,Rafelcofer,val,"A Rafelcofer, el sol ha guanyat per majoria absoluta les eleccions meteorològiques. Hui i sempre."
2026-12-08,Moià,cat,A Moià no cal mirar el cel. Ja saps el que hi ha. Sol. Sempre sol.
2026-12-09,Preixana,cat,Bones notícies des de Preixana: el sol continua sent gratuït i sense efectes secundaris.
2026-12-10,Gaibiel,val,"A Gaibiel, hui fa un dia tan bo que sortir de casa s'ha convertit en una obligació moral."
2026-12-11,Eivissa,bal,"A Eivissa, es sol ja saluda tothom pes seu nom. Porta aquí massa temps seguit."
2026-12-12,Prats de Lluçanès,cat,"A Prats de Lluçanès, el sol és tan puntual que podries sincronitzar el rellotge amb ell."
2026-12-13,Guimerà,cat,Avui a Guimerà el sol ha rebut una menció d'honor per serveis meteorològics excepcionals.
2026-12-14,Castelló de Rugat,val,"A Castelló de Rugat, el temps és tan bo que s'ha convertit en tema de conversa obligatori en totes les tavernes."
2026-12-15,Sort,cat,A Sort el temps és l'únic tema de conversa on tothom està d'acord.
2026-12-16,Salardú,aran,"En Salardú, era candidatura dera Vath d'Aran au Patrimòni Mondiau incluirà era ironia d'un territòri de nèu que rép mès sòu que sa Provença. Es jutges comprenen."
2026-12-17,Cantonigròs,cat,"Cantonigròs és la prova que el sol és el millor influencer: arriba, il·lumina i tothom el segueix."
